"UniqueID","GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"CPS2-ASU-T47-Warmup-27.1961","1047","Warmup","5.28585614980848","12.0236178207193","2.05504587155963","3","5.3790640342392","21.5180360721443","2.04038004750594","3","6.03854872569258"
"CPS2-ASU-T47-Warmup-576.8173","1047","Warmup","2.31805929919137","4.40636474908201","2","2","3.58351893845611","2.31578947368421","2","2","3.09104245335832"
"CPS2-ASU-T50-ExpBlock1-12.1766","1050","ExpBlock1","1.3420343311108","2.5369978858351","2","2","2.484906649788","7.59075907590759","2","2","3.82864139648909"
"CPS2-ASU-T50-ExpBlock1-168.3593","1050","ExpBlock1","0.624202014470138","0","NaN","1","0","1.41643059490085","2","2","1.6094379124341"
"CPS2-ASU-T50-ExpBlock1-527.5388","1050","ExpBlock1","1.61157611008654","1.23239436619718","2.33333333333333","3","1.77213938843753","14.5506419400856","2","2","4.62497281328427"
"CPS2-ASU-T50-ExpBlock1-621.5005","1050","ExpBlock1","0.462476947084693","1.22699386503067","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T50-ExpBlock2-15.8802","1050","ExpBlock2","1.50092211661229","1.13421550094518","2","2","1.79175946922805","4.98489425981873","2","2","3.49650756146648"
"CPS2-ASU-T50-Warmup-52.0343","1050","Warmup","2.21591715136899","3.58514724711908","2","2","3.3322045101752","8.42450765864333","2","2","4.34380542185368"
"CPS2-ASU-T51-ExpBlock1-9.7413","1051","ExpBlock1","0.567456376791034","2","2","2","1.38629436111989","3.9039039039039","2","2","2.56494935746154"
"CPS2-ASU-T51-ExpBlock2-28.6924","1051","ExpBlock2","4.94254504184991","10.0459242250287","2.05882352941176","4","5.1280901185223","8.21333333333333","2.2","3","4.92637120929324"
"CPS2-ASU-T51-ExpBlock2-478.1248","1051","ExpBlock2","1.34487161299475","1.68776371308017","2","2","2.07944154167984","4.2833607907743","2","2","3.25809653802149"
"CPS2-ASU-T51-Warmup-21.8617","1051","Warmup","0.805788055043269","1.40845070422535","2","2","1.38629436111989","0.719424460431655","2","2","1.09861228866811"
"CPS2-ASU-T52-ExpBlock1-422.1186","1052","ExpBlock1","0.448290537664917","1.26582278481013","2","2","0.693147180559945","2.74914089347079","2","2","2.07944154167984"
"CPS2-ASU-T52-ExpBlock1-540.7574","1052","ExpBlock1","0.173074194921265","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T52-ExpBlock1-8.8604","1052","ExpBlock1","0.539083557951482","1.05263157894737","2","2","0.693147180559945","4.02476780185759","2","2","2.56494935746154"
"CPS2-ASU-T52-ExpBlock2-20.189","1052","ExpBlock2","0.632713860122003","1.79372197309417","2","2","1.38629436111989","5.61797752808989","2","2","2.99573227355399"
"CPS2-ASU-T52-ExpBlock2-217.6376","1052","ExpBlock2","1.7846503050078","2.86168521462639","2","2","2.89037175789616","12.992125984252","2","2","4.59511985013461"
"CPS2-ASU-T52-Warmup-117.3044","1052","Warmup","4.9680805788055","7.99543118218161","2.05882352941176","3","4.90688827048575","18.0997876857749","2","2","5.83188247728354"
"CPS2-ASU-T52-Warmup-475.3507","1052","Warmup","5.68875017733012","15.6608478802993","2.03896103896104","4","5.72506760368038","41.3002806361085","2.20199501246883","4","6.66135173598639"
"CPS2-ASU-T52-Warmup-646.0966","1052","Warmup","0.50503617534402","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T54-ExpBlock1-129.0","1054","ExpBlock1","0.970350404312669","0.584795321637427","2","2","0.693147180559945","3.36842105263158","2","2","2.77258872223978"
