UniqueID,school,team,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,GROUPID
CPS2-ASU-T36-Warmup-52.8642,ASU,CPS2-ASU-T36,Warmup,Can Opener,52.8642,591.8567,522,581,538.9925,0,1,1,1036
CPS2-ASU-T36-Warmup-604.8476,ASU,CPS2-ASU-T36,Warmup,Yippie!,604.8476,886.2592,817,876,281.4116,0,1,1,1036
CPS2-ASU-T37-ExpBlock1-65.6177,ASU,CPS2-ASU-T37,ExpBlock1,Fe2,65.6177,757.8351,688,747,692.2174,0,1,1,1037
CPS2-ASU-T37-ExpBlock1-771.1061,ASU,CPS2-ASU-T37,ExpBlock1,Fe2,771.1061,851.6441,782,841,80.538,0,0,0,1037
CPS2-ASU-T37-ExpBlock2-15.6482,ASU,CPS2-ASU-T37,ExpBlock2,Top spin,15.6482,900.011,840,899,884.3628,0,0,0,1037
CPS2-ASU-T37-Warmup-206.9626,ASU,CPS2-ASU-T37,Warmup,Yippie!,206.9626,794.8386,725,784,587.876,0,1,1,1037
CPS2-ASU-T37-Warmup-25.3069,ASU,CPS2-ASU-T37,Warmup,Can Opener,25.3069,193.887,124,183,168.5801,0,1,1,1037
CPS2-ASU-T37-Warmup-804.3905,ASU,CPS2-ASU-T37,Warmup,Spider Web,804.3905,900.006,840,899,95.6155,0,0,0,1037
CPS2-ASU-T38-ExpBlock1-206.0574,ASU,CPS2-ASU-T38,ExpBlock1,Timing is Everything,206.0574,427.0501,358,417,220.9927,0,1,1,1038
CPS2-ASU-T38-ExpBlock1-21.616,ASU,CPS2-ASU-T38,ExpBlock1,Scale,21.616,192.9459,123,182,171.3299,0,1,1,1038
CPS2-ASU-T38-ExpBlock1-558.0027,ASU,CPS2-ASU-T38,ExpBlock1,Fe2,558.0027,809.1553,740,799,251.1526,0,0,0,1038
CPS2-ASU-T38-ExpBlock1-809.1553,ASU,CPS2-ASU-T38,ExpBlock1,Smiley Mouth,809.1553,888.8125,819,878,79.6572,0,1,1,1038
CPS2-ASU-T38-ExpBlock2-15.4403,ASU,CPS2-ASU-T38,ExpBlock2,Top spin,15.4403,501.9539,432,491,486.5136,0,1,1,1038
CPS2-ASU-T38-ExpBlock2-515.0512,ASU,CPS2-ASU-T38,ExpBlock2,Think Ahead,515.0512,853.2238,784,843,338.1726,0,0,0,1038
CPS2-ASU-T38-Warmup-221.9713,ASU,CPS2-ASU-T38,Warmup,Yippie!,221.9713,900.011,840,899,678.0397,0,0,0,1038
CPS2-ASU-T38-Warmup-45.5811,ASU,CPS2-ASU-T38,Warmup,Can Opener,45.5811,221.9713,152,211,176.3902,0,0,0,1038
CPS2-ASU-T39-ExpBlock1-35.2026,ASU,CPS2-ASU-T39,ExpBlock1,Top spin,35.2026,900.017,840,899,864.8144,0,0,0,1039
CPS2-ASU-T39-ExpBlock2-153.5861,ASU,CPS2-ASU-T39,ExpBlock2,Fe2,153.5861,900.002,840,899,746.4159,0,0,0,1039
CPS2-ASU-T39-Warmup-40.6742,ASU,CPS2-ASU-T39,Warmup,Yippie!,40.6742,573.5862,504,563,532.912,0,1,1,1039
CPS2-ASU-T39-Warmup-610.7416,ASU,CPS2-ASU-T39,Warmup,Double Hoppy,610.7416,899.991,840,899,289.2494,0,0,0,1039
CPS2-ASU-T40-ExpBlock1-24.3272,ASU,CPS2-ASU-T40,ExpBlock1,Top spin,24.3272,900.01,840,899,875.6828,0,0,0,1040
CPS2-ASU-T40-ExpBlock2-26.5431,ASU,CPS2-ASU-T40,ExpBlock2,Green Apple,26.5431,378.8854,309,368,352.3423,0,1,1,1040
CPS2-ASU-T40-ExpBlock2-393.2263,ASU,CPS2-ASU-T40,ExpBlock2,Timing is Everything,393.2263,642.5427,573,632,249.3164,0,1,1,1040
CPS2-ASU-T40-ExpBlock2-702.4667,ASU,CPS2-ASU-T40,ExpBlock2,Green Apple,702.4667,774.787,705,764,72.3203,0,0,0,1040
CPS2-ASU-T40-ExpBlock2-826.4517,ASU,CPS2-ASU-T40,ExpBlock2,Smiley Mouth,826.4517,900.006,840,899,73.5543,0,0,0,1040
CPS2-ASU-T40-Warmup-123.55,ASU,CPS2-ASU-T40,Warmup,Can Opener,123.55,543.2578,474,533,419.7078,0,1,1,1040
CPS2-ASU-T40-Warmup-638.9664,ASU,CPS2-ASU-T40,Warmup,Double Hoppy,638.9664,900.014,840,899,261.0476,0,0,0,1040
CPS2-ASU-T41-ExpBlock1-18.8638,ASU,CPS2-ASU-T41,ExpBlock1,Scale,18.8638,136.9548,67,126,118.091,0,1,1,1041
CPS2-ASU-T41-ExpBlock1-213.6077,ASU,CPS2-ASU-T41,ExpBlock1,Fe2,213.6077,831.9872,762,821,618.3795,0,1,1,1041
CPS2-ASU-T41-ExpBlock2-21.6371,ASU,CPS2-ASU-T41,ExpBlock2,Top spin,21.6371,899.983,840,899,878.3459,0,0,0,1041
CPS2-ASU-T41-Warmup-252.1165,ASU,CPS2-ASU-T41,Warmup,Double Hoppy,252.1165,843.5126,774,833,591.3961,0,1,1,1041
CPS2-ASU-T41-Warmup-39.5928,ASU,CPS2-ASU-T41,Warmup,Spider Web,39.5928,243.6962,174,233,204.1034,0,1,1,1041
CPS2-ASU-T42-ExpBlock1-12.8683,ASU,CPS2-ASU-T42,ExpBlock1,Scale,12.8683,263.4803,194,253,250.612,0,1,1,1042
CPS2-ASU-T42-ExpBlock1-361.8016,ASU,CPS2-ASU-T42,ExpBlock1,Timing is Everything,361.8016,900.038,840,899,538.2364,0,0,0,1042
CPS2-ASU-T42-ExpBlock2-235.9129,ASU,CPS2-ASU-T42,ExpBlock2,Caterpillar,235.9129,338.7652,269,328,102.8523,0,0,0,1042
CPS2-ASU-T42-ExpBlock2-338.7652,ASU,CPS2-ASU-T42,ExpBlock2,Think Ahead,338.7652,599.5497,530,589,260.7845,0,0,0,1042
CPS2-ASU-T42-ExpBlock2-599.5497,ASU,CPS2-ASU-T42,ExpBlock2,Dolphin Show,599.5497,896.8096,827,886,297.2599,0,0,0,1042
CPS2-ASU-T42-ExpBlock2-82.0043,ASU,CPS2-ASU-T42,ExpBlock2,Trunk Slide,82.0043,230.2519,161,220,148.2476,0,1,1,1042
CPS2-ASU-T42-Warmup-101.045,ASU,CPS2-ASU-T42,Warmup,Can Opener,101.045,900.028,840,899,798.983,0,0,0,1042
CPS2-ASU-T43-ExpBlock1-430.8348,ASU,CPS2-ASU-T43,ExpBlock1,Cloudy Day,430.8348,593.7085,524,583,162.8737,1,0,1,1043
CPS2-ASU-T43-ExpBlock1-609.654,ASU,CPS2-ASU-T43,ExpBlock1,Uphill Battle,609.654,688.2251,619,678,78.5711,1,0,1,1043
CPS2-ASU-T43-ExpBlock1-804.2085,ASU,CPS2-ASU-T43,ExpBlock1,Top spin,804.2085,882.9847,813,872,78.7762,0,0,0,1043
CPS2-ASU-T43-ExpBlock1-89.535,ASU,CPS2-ASU-T43,ExpBlock1,Think Ahead,89.535,430.8348,361,420,341.2998,0,0,0,1043
