UniqueID,school,team,controller,observer1,observer2,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,face_area,motion,positive_valence,negative_valence,expressiveness,Analytic,Clout,Authentic,Tone,gaze_raw_binary_validity,gaze_raw_dispersion,gaze_fixation_count,gaze_fixation_mean_duration,gaze_saccade_mean_amplitude,gaze_mean_partners_distance,PP_motion,Loudness_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,F1frequency_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,verbosity,interturn_duration,overlap_fraction,duration_on_level,visit_num,pred_won
CPS2-ASU-T103-Warmup-290.3937,ASU,CPS2-ASU-T103,CPS2-ASU-T103-PD,CPS2-ASU-T103-PB,CPS2-ASU-T103-PC,Warmup,Double Hoppy,290.3937,900.013,840,899,609.6193,0,0,0,-0.643064138,-0.187511623,-0.045830325,-0.104491748,0.093156254,1.570555556,1.933333333,0.027777778,1.254277778,0.603864751,142.5440897,2.889535223,326.2806249,179.9529724,374.7224252,0.007869344,0.489883411,1.725702377,0.234807314,0.895797556,1.94040143,-1.043073835,1.677925156,-0.774972799,1.619347267,0.194345622,1.562374291,6,12.425,0,550,0,0.380104241
CPS2-ASU-T104-ExpBlock1-15.2511,ASU,CPS2-ASU-T104,CPS2-ASU-T104-PB,CPS2-ASU-T104-PA,CPS2-ASU-T104-PC,ExpBlock1,Top spin,15.2511,900.006,840,899,884.7549,0,0,0,0.362804117,-0.064121139,-0.167420246,0.005561236,0.296275977,10.81072222,10.602,12.90172222,6.408277778,0.627125212,119.4017514,2.786200388,355.3311597,166.0019371,300.8582708,0.0055683,0.177711591,0.390383291,0.018897998,0.109958208,0.440013803,0.035125574,0.322707559,0.08781809,0.333833743,0.174473023,0.334501091,110,2.190909091,0.294117647,825,0,0.75746311
CPS2-ASU-T104-ExpBlock2-11.6627,ASU,CPS2-ASU-T104,CPS2-ASU-T104-PC,CPS2-ASU-T104-PA,CPS2-ASU-T104-PB,ExpBlock2,Top spin,11.6627,239.1777,170,229,227.515,0,1,1,-0.460144305,-0.271235587,0.276935647,-0.100309285,0.074723462,18.83844444,20.82322222,13.086,10.26733333,0.872483333,193.9061672,3.051515909,298.9098217,266.5683935,419.2391565,0.0194159,1.433020201,1.556078479,0.48267829,0.682981069,1.614935781,-0.622163676,1.265535008,-0.577139296,1.280771481,-0.346141544,1.266930649,179,1.207222222,0.366666667,159,0,0.675321015
CPS2-ASU-T104-ExpBlock2-250.5597,ASU,CPS2-ASU-T104,CPS2-ASU-T104-PC,CPS2-ASU-T104-PA,CPS2-ASU-T104-PB,ExpBlock2,Trunk Slide,250.5597,900.027,840,899,649.4673,0,0,0,0.248862392,0.248719282,0.230650826,0.474594195,0.241742233,27.03705556,23,15.78588889,17.63055556,0.548448111,162.9348653,2.777843742,341.6220258,177.6715515,428.7282486,0.001667578,0.543124892,0.232775822,0.136103382,0.245380385,0.293748478,-0.38304804,0.238282668,-0.336172633,0.240682693,-0.191056656,0.245700055,174,1.530666667,0.384615385,590,0,0.555952901
CPS2-ASU-T104-Warmup-7.3548,ASU,CPS2-ASU-T104,CPS2-ASU-T104-PA,CPS2-ASU-T104-PB,CPS2-ASU-T104-PC,Warmup,Can Opener,7.3548,900.001,840,899,892.6462,0,0,0,0.085469807,0.06692074,-0.251117005,-0.329693077,0.414147665,11.39361111,12.08244444,16.83166667,9.220277778,0.862330426,110.7073943,2.593738501,377.1765123,132.0572265,342.2349548,0.002823556,1.007027026,1.269032856,0.608628871,0.798839121,1.203342049,-0.533936992,1.05250028,-0.599416923,1.084940789,-0.388180804,1.070342899,157,1.64875,0.5,833,0,0.629690312
CPS2-ASU-T10-ExpBlock1-278.2048,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PB,CPS2-ASU-T10-PA,CPS2-ASU-T10-PC,ExpBlock1,Fe2,278.2048,900.002,840,899,621.7972,0,0,0,0.279975942,-0.303394888,-0.183754008,0.740094501,0.162060568,21.23316667,20.49827778,17.03727778,10.92716667,0.905098156,73.49788635,2.774669665,351.803082,103.702805,217.1174286,0.004053989,0.943133242,0.996263551,0.305899603,0.679884405,0.816285923,-0.373861836,0.922459131,-0.308595769,0.955872196,-0.068144132,0.951815384,138,2.674615385,0.575757576,562,0,0.582577664
CPS2-ASU-T10-ExpBlock1-49.9987,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PB,CPS2-ASU-T10-PA,CPS2-ASU-T10-PC,ExpBlock1,Green Apple,49.9987,162.0673,93,152,112.0686,0,1,1,0.519345215,-0.31624307,0.080704998,0.011740361,-0.106264439,9.007166667,10.26111111,4.229888889,6.489,0.878172222,60.57452547,2.610861965,402.0309754,87.41517331,216.5851695,0.005737989,0.759738646,0.982530665,0.379512468,0.476782207,1.089264596,-0.763314839,0.994185534,-0.637458583,1.012975192,-0.561961828,0.998376006,65,4.54,0.523809524,44,0,0.612713011
CPS2-ASU-T10-ExpBlock2-367.5711,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PC,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,ExpBlock2,Trunk Slide,367.5711,510.6217,441,500,143.0506,0,0,0,0.210984912,0.259086248,0.465859992,0.267581229,0.150166817,13.94122222,13.59444444,5.913388889,8.613833333,0.875977778,99.67943831,2.902832222,352.3738822,128.6632503,251.4206445,0.021903684,0.994867712,1.062914118,0.428005909,0.587097069,0.911649036,-0.376713232,0.895071105,-0.576205953,0.943496525,-0.223730613,0.921196534,104,2.291333333,0.466666667,74,1,0.514146803
CPS2-ASU-T10-ExpBlock2-57.1913,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PC,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,ExpBlock2,Trunk Slide,57.1913,361.1485,292,351,303.9572,0,1,1,0.270088275,-0.371085728,-0.200116131,0.058727893,-0.206007914,10.28811111,7.227777778,4.909833333,5.492833333,0.931722222,52.90555543,2.433867721,422.7637106,79.93043367,201.7496855,0.010344522,0.323214893,0.701848662,0.20591016,0.420601728,0.572541989,-0.238749096,0.660522761,-0.019184854,0.687152686,-0.048158166,0.677253902,49,7.51,0.545454545,235,0,0.633598014
CPS2-ASU-T10-ExpBlock2-580.5728,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PC,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,ExpBlock2,Dolphin Show,580.5728,900.011,840,899,319.4382,0,0,0,-0.758275198,-0.163468421,-0.492382721,-0.412366902,-0.336948109,15.35588889,14.7205,10.1845,10.57883333,0.914377171,113.4114757,3.200840503,300.6630081,140.8704634,374.0967038,0.005046979,1.058969552,0.993986226,0.30349306,0.577770026,0.817982906,-0.586978787,0.902769882,-0.36880629,0.933407598,-0.19452347,0.923974734,129,2.183846154,0.461538462,260,0,0.441524016
CPS2-ASU-T10-Warmup-290.9507,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,CPS2-ASU-T10-PC,Warmup,Can Opener,290.9507,743.9624,674,733,453.0117,0,1,1,0.343167527,-0.160304376,0.053801479,-0.098696557,-0.098233437,13.593,11.91666667,7.615,5.571944444,0.777022222,78.84546446,3.040892149,295.6690353,106.6051876,223.440247,0.006908237,1.073653195,1.049064333,0.399547524,0.67025879,0.646446352,-0.096945603,0.917036818,-0.083843786,0.966742471,-0.048391767,0.980928152,102,4.952222222,0.473684211,384,0,0.381531086
CPS2-ASU-T10-Warmup-751.9307,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,CPS2-ASU-T10-PC,Warmup,Yippie!,751.9307,900.023,840,899,148.0923,0,0,0,0.571707835,-0.135522264,0.247863789,-0.10375659,-0.337692953,3.511777778,4.448277778,3.591055556,2.983833333,0.913015553,74.70415426,3.1274012,331.5941313,98.31268559,255.4211516,0.009384465,1.868494921,1.294197094,0.758131484,0.503370832,0.82956215,0.555294113,0.922872146,0.639734953,1.003507221,0.73291357,1.001770511,42,13.99,0.5,89,0,0.700402567
CPS2-ASU-T10-Warmup-93.1092,ASU,CPS2-ASU-T10,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,CPS2-ASU-T10-PC,Warmup,Spider Web,93.1092,268.1269,199,258,175.0177,0,1,1,-0.016956369,-0.359579773,-0.137216587,-0.20517132,-0.172930079,14.844,9.035666667,15.01716667,7.983111111,0.899594444,66.22816301,2.994444444,262.5514045,83.19500799,300.2506162,0.003025931,1.014792977,1.202860401,0.36186148,0.778486086,1.200140703,-0.513483715,1.083251951,-0.295692506,1.098457114,-0.142682223,1.101732067,144,5.236,0.666666667,106,0,0.431556001
CPS2-ASU-T20-ExpBlock1-370.4105,ASU,CPS2-ASU-T20,CPS2-ASU-T20-PB,CPS2-ASU-T20-PA,CPS2-ASU-T20-PC,ExpBlock1,Think Ahead,370.4105,798.4943,729,788,428.0838,0,1,1,0.151439669,0.287563824,-0.220795607,0.02349732,0.030819246,10.77911111,8.093333333,8.389222222,4.844555556,0.481233333,122.7238919,2.893862838,347.5471024,155.0524802,223.7739469,0.00316774,2.295871871,2.174966374,2.199067414,2.412284864,0.883448931,-0.877528542,2.182558338,-0.543255573,2.199524923,-0.13535636,2.219571751,85,2.618888889,0.375,359,0,0.52249054
CPS2-ASU-T20-ExpBlock1-61.6512,ASU,CPS2-ASU-T20,CPS2-ASU-T20-PB,CPS2-ASU-T20-PA,CPS2-ASU-T20-PC,ExpBlock1,Top spin,61.6512,363.721,294,353,302.0698,0,1,1,0.644598229,-0.332389615,0.501424961,0.161087922,0.362735468,4.545333333,4.748888889,3.894611111,3.929111111,0.832044444,101.5108224,2.675157436,386.3064019,127.1477396,199.0099733,0.005030609,1.618951109,1.598921871,1.3914226,1.28348261,0.886403402,-0.220058311,1.560253989,-0.243906723,1.592172812,0.215782128,1.56880002,45,3.715,0.125,233,0,0.593426264
CPS2-ASU-T20-ExpBlock1-809.7732,ASU,CPS2-ASU-T20,CPS2-ASU-T20-PB,CPS2-ASU-T20-PA,CPS2-ASU-T20-PC,ExpBlock1,Caterpillar,809.7732,900.002,840,899,90.2288,0,0,0,-0.104613001,-0.091442147,-0.294794867,0.270455075,0.105828448,10.7255,11.08161111,5.055055556,7.050555556,0.956258946,127.4332868,2.9597788,337.967006,170.4067313,265.3531143,0.009851066,1.551365578,1.64284695,1.396540891,1.487740635,1.405123402,-0.486862229,1.589070496,-0.1030639,1.577881394,0.088260863,1.602843783,78,3.195555556,0.285714286,31,0,0.359245323
CPS2-ASU-T20-ExpBlock2-12.5654,ASU,CPS2-ASU-T20,CPS2-ASU-T20-PC,CPS2-ASU-T20-PA,CPS2-ASU-T20-PB,ExpBlock2,Scale,12.5654,137.492,68,127,124.9266,0,1,1,0.077360244,-0.349029826,-0.111613376,-0.629314326,-0.230306449,11.98094444,13.84555556,7.517888889,10.78561111,0.965344444,139.0300242,2.453449378,419.1470105,199.5431777,308.7954469,0.006576459,1.680180199,1.517076443,1.374849189,1.668238651,0.984350916,-0.922170643,1.58967698,-0.679348307,1.585718533,-0.519350101,1.591745892,127,1.908333333,0.277777778,56,0,0.522395989
