ParticipantBlock,pid,Analyze,GROUPID_block,GROUPID,schoolID,teamID,School,Team,Block,TeamBlock,Role,FullPath_gaze,FullPath_fixations,FullPath_partners-M,FullPath_partners-C,FullPath_PP-C,FullPath_PP-M,FullPath_225ms-time-series-RAW,225ms-time-series-RAW,FullPath_225ms-time-series-FIXATIONS,225ms-time-series-FIXATIONS
CPS2-ASU-T20-PA-Transfer,CPS2-ASU-T20-PA,yes,1020Transfer,1020,10,20,ASU,T20,Transfer,T20Transfer,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T20-PA-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T20-PA-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T20-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T20-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1020-Transfer-CPS2-ASU-T20-PA-225ms-RAW.csv,1020-Transfer-CPS2-ASU-T20-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1020-Transfer-CPS2-ASU-T20-PA-225ms-FIXATIONS.csv,1020-Transfer-CPS2-ASU-T20-PA-225ms-FIXATIONS.csv
CPS2-CU-T54-PC-ExpBlock1,CPS2-CU-T54-PC,yes,2054ExpBlock1,2054,20,54,CU,T54,ExpBlock1,T54ExpBlock1,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T54-PC-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T54-PC-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T54-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T54-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T54-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T54-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2054-ExpBlock1-CPS2-CU-T54-PC-225ms-RAW.csv,2054-ExpBlock1-CPS2-CU-T54-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2054-ExpBlock1-CPS2-CU-T54-PC-225ms-FIXATIONS.csv,2054-ExpBlock1-CPS2-CU-T54-PC-225ms-FIXATIONS.csv
CPS2-ASU-T24-PA-ExpBlock1,CPS2-ASU-T24-PA,yes,1024ExpBlock1,1024,10,24,ASU,T24,ExpBlock1,T24ExpBlock1,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T24-PA-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T24-PA-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T24-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T24-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T24-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T24-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1024-ExpBlock1-CPS2-ASU-T24-PA-225ms-RAW.csv,1024-ExpBlock1-CPS2-ASU-T24-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1024-ExpBlock1-CPS2-ASU-T24-PA-225ms-FIXATIONS.csv,1024-ExpBlock1-CPS2-ASU-T24-PA-225ms-FIXATIONS.csv
CPS2-ASU-T37-PD-Transfer,CPS2-ASU-T37-PD,yes,1037Transfer,1037,10,37,ASU,T37,Transfer,T37Transfer,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T37-PD-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T37-PD-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1037-Transfer-CPS2-ASU-T37-PD-225ms-RAW.csv,1037-Transfer-CPS2-ASU-T37-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1037-Transfer-CPS2-ASU-T37-PD-225ms-FIXATIONS.csv,1037-Transfer-CPS2-ASU-T37-PD-225ms-FIXATIONS.csv
CPS2-ASU-T80-PD-Transfer,CPS2-ASU-T80-PD,yes,1080Transfer,1080,10,80,ASU,T80,Transfer,T80Transfer,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T80-PD-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T80-PD-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T80-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1080-Transfer-CPS2-ASU-T80-PD-225ms-RAW.csv,1080-Transfer-CPS2-ASU-T80-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1080-Transfer-CPS2-ASU-T80-PD-225ms-FIXATIONS.csv,1080-Transfer-CPS2-ASU-T80-PD-225ms-FIXATIONS.csv
CPS2-ASU-T28-PA-ExpBlock1,CPS2-ASU-T28-PA,yes,1028ExpBlock1,1028,10,28,ASU,T28,ExpBlock1,T28ExpBlock1,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T28-PA-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T28-PA-ExpBlock1-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1028-ExpBlock1-CPS2-ASU-T28-PA-225ms-RAW.csv,1028-ExpBlock1-CPS2-ASU-T28-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1028-ExpBlock1-CPS2-ASU-T28-PA-225ms-FIXATIONS.csv,1028-ExpBlock1-CPS2-ASU-T28-PA-225ms-FIXATIONS.csv
CPS2-ASU-T37-PC-ExpBlock2,CPS2-ASU-T37-PC,yes,1037ExpBlock2,1037,10,37,ASU,T37,ExpBlock2,T37ExpBlock2,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T37-PC-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T37-PC-ExpBlock2-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-ExpBlock2-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-ExpBlock2-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-ExpBlock2-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T37-ExpBlock2-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1037-ExpBlock2-CPS2-ASU-T37-PC-225ms-RAW.csv,1037-ExpBlock2-CPS2-ASU-T37-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1037-ExpBlock2-CPS2-ASU-T37-PC-225ms-FIXATIONS.csv,1037-ExpBlock2-CPS2-ASU-T37-PC-225ms-FIXATIONS.csv
CPS2-ASU-T40-PD-Transfer,CPS2-ASU-T40-PD,yes,1040Transfer,1040,10,40,ASU,T40,Transfer,T40Transfer,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T40-PD-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T40-PD-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T40-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T40-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1040-Transfer-CPS2-ASU-T40-PD-225ms-RAW.csv,1040-Transfer-CPS2-ASU-T40-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1040-Transfer-CPS2-ASU-T40-PD-225ms-FIXATIONS.csv,1040-Transfer-CPS2-ASU-T40-PD-225ms-FIXATIONS.csv
CPS2-CU-T68-PA-Transfer,CPS2-CU-T68-PA,yes,2068Transfer,2068,20,68,CU,T68,Transfer,T68Transfer,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T68-PA-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T68-PA-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T68-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T68-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2068-Transfer-CPS2-CU-T68-PA-225ms-RAW.csv,2068-Transfer-CPS2-CU-T68-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2068-Transfer-CPS2-CU-T68-PA-225ms-FIXATIONS.csv,2068-Transfer-CPS2-CU-T68-PA-225ms-FIXATIONS.csv
CPS2-ASU-T100-PC-ExpBlock1,CPS2-ASU-T100-PC,yes,10100ExpBlock1,10100,10,100,ASU,T100,ExpBlock1,T100ExpBlock1,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T100-PC-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T100-PC-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T100-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T100-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T100-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T100-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/10100-ExpBlock1-CPS2-ASU-T100-PC-225ms-RAW.csv,10100-ExpBlock1-CPS2-ASU-T100-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/10100-ExpBlock1-CPS2-ASU-T100-PC-225ms-FIXATIONS.csv,10100-ExpBlock1-CPS2-ASU-T100-PC-225ms-FIXATIONS.csv
CPS2-CU-T58-PC-ExpBlock1,CPS2-CU-T58-PC,yes,2058ExpBlock1,2058,20,58,CU,T58,ExpBlock1,T58ExpBlock1,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T58-PC-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T58-PC-ExpBlock1-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2058-ExpBlock1-CPS2-CU-T58-PC-225ms-RAW.csv,2058-ExpBlock1-CPS2-CU-T58-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2058-ExpBlock1-CPS2-CU-T58-PC-225ms-FIXATIONS.csv,2058-ExpBlock1-CPS2-CU-T58-PC-225ms-FIXATIONS.csv
CPS2-ASU-T47-PA-Warmup,CPS2-ASU-T47-PA,yes,1047Warmup,1047,10,47,ASU,T47,Warmup,T47Warmup,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T47-PA-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T47-PA-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1047-Warmup-CPS2-ASU-T47-PA-225ms-RAW.csv,1047-Warmup-CPS2-ASU-T47-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1047-Warmup-CPS2-ASU-T47-PA-225ms-FIXATIONS.csv,1047-Warmup-CPS2-ASU-T47-PA-225ms-FIXATIONS.csv
CPS2-CU-T63-PA-ExpBlock1,CPS2-CU-T63-PA,yes,2063ExpBlock1,2063,20,63,CU,T63,ExpBlock1,T63ExpBlock1,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T63-PA-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T63-PA-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T63-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2063-ExpBlock1-CPS2-CU-T63-PA-225ms-RAW.csv,2063-ExpBlock1-CPS2-CU-T63-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2063-ExpBlock1-CPS2-CU-T63-PA-225ms-FIXATIONS.csv,2063-ExpBlock1-CPS2-CU-T63-PA-225ms-FIXATIONS.csv
CPS2-CU-T16-PB-ExpBlock2,CPS2-CU-T16-PB,yes,2016ExpBlock2,2016,20,16,CU,T16,ExpBlock2,T16ExpBlock2,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T16-PB-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T16-PB-ExpBlock2-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T16-ExpBlock2-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2016-ExpBlock2-CPS2-CU-T16-PB-225ms-RAW.csv,2016-ExpBlock2-CPS2-CU-T16-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2016-ExpBlock2-CPS2-CU-T16-PB-225ms-FIXATIONS.csv,2016-ExpBlock2-CPS2-CU-T16-PB-225ms-FIXATIONS.csv
CPS2-ASU-T39-PD-Warmup,CPS2-ASU-T39-PD,yes,1039Warmup,1039,10,39,ASU,T39,Warmup,T39Warmup,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T39-PD-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T39-PD-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T39-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T39-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T39-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T39-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1039-Warmup-CPS2-ASU-T39-PD-225ms-RAW.csv,1039-Warmup-CPS2-ASU-T39-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1039-Warmup-CPS2-ASU-T39-PD-225ms-FIXATIONS.csv,1039-Warmup-CPS2-ASU-T39-PD-225ms-FIXATIONS.csv
CPS2-ASU-T98-PB-Transfer,CPS2-ASU-T98-PB,yes,1098Transfer,1098,10,98,ASU,T98,Transfer,T98Transfer,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T98-PB-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T98-PB-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T98-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T98-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1098-Transfer-CPS2-ASU-T98-PB-225ms-RAW.csv,1098-Transfer-CPS2-ASU-T98-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1098-Transfer-CPS2-ASU-T98-PB-225ms-FIXATIONS.csv,1098-Transfer-CPS2-ASU-T98-PB-225ms-FIXATIONS.csv
CPS2-CU-T15-PC-Transfer,CPS2-CU-T15-PC,yes,2015Transfer,2015,20,15,CU,T15,Transfer,T15Transfer,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T15-PC-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T15-PC-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T15-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T15-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2015-Transfer-CPS2-CU-T15-PC-225ms-RAW.csv,2015-Transfer-CPS2-CU-T15-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2015-Transfer-CPS2-CU-T15-PC-225ms-FIXATIONS.csv,2015-Transfer-CPS2-CU-T15-PC-225ms-FIXATIONS.csv
CPS2-ASU-T64-PC-Warmup,CPS2-ASU-T64-PC,yes,1064Warmup,1064,10,64,ASU,T64,Warmup,T64Warmup,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T64-PC-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T64-PC-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T64-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T64-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T64-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T64-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1064-Warmup-CPS2-ASU-T64-PC-225ms-RAW.csv,1064-Warmup-CPS2-ASU-T64-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1064-Warmup-CPS2-ASU-T64-PC-225ms-FIXATIONS.csv,1064-Warmup-CPS2-ASU-T64-PC-225ms-FIXATIONS.csv
CPS2-CU-T23-PB-ExpBlock2,CPS2-CU-T23-PB,yes,2023ExpBlock2,2023,20,23,CU,T23,ExpBlock2,T23ExpBlock2,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T23-PB-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T23-PB-ExpBlock2-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2023-ExpBlock2-CPS2-CU-T23-PB-225ms-RAW.csv,2023-ExpBlock2-CPS2-CU-T23-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2023-ExpBlock2-CPS2-CU-T23-PB-225ms-FIXATIONS.csv,2023-ExpBlock2-CPS2-CU-T23-PB-225ms-FIXATIONS.csv
CPS2-CU-T56-PA-ExpBlock1,CPS2-CU-T56-PA,yes,2056ExpBlock1,2056,20,56,CU,T56,ExpBlock1,T56ExpBlock1,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T56-PA-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T56-PA-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T56-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T56-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T56-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T56-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2056-ExpBlock1-CPS2-CU-T56-PA-225ms-RAW.csv,2056-ExpBlock1-CPS2-CU-T56-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2056-ExpBlock1-CPS2-CU-T56-PA-225ms-FIXATIONS.csv,2056-ExpBlock1-CPS2-CU-T56-PA-225ms-FIXATIONS.csv
